Year,Month,Day,Time,MachineID,ErrorID
2017,1,6,6:00:00,MID10889,error1
2017,2,20,6:00:00,MID10889,error2
2017,2,20,6:00:00,MID10889,error3
2017,2,22,4:00:00,MID10889,error4
2017,3,22,6:00:00,MID10889,error1
2017,5,4,17:00:00,MID10889,error1
2017,6,14,16:00:00,MID10889,error1
2017,6,20,6:00:00,MID10889,error2
2017,6,20,6:00:00,MID10889,error3
2017,7,18,8:00:00,MID10889,error5
2017,2,9,6:00:00,MID10898,error2
2017,2,9,6:00:00,MID10898,error3
2017,3,26,6:00:00,MID10898,error2
2017,3,26,6:00:00,MID10898,error3
2017,4,28,12:00:00,MID10898,error4
2017,5,10,6:00:00,MID10898,error2
2017,5,10,6:00:00,MID10898,error3
2017,6,9,6:00:00,MID10898,error2
2017,6,9,6:00:00,MID10898,error3
2017,7,9,17:00:00,MID10898,error2
2017,8,23,6:00:00,MID10898,error2
2017,8,23,6:00:00,MID10898,error3
2017,10,15,9:00:00,MID10898,error4
2017,1,16,6:00:00,MID10928,error4
2017,1,25,6:00:00,MID10928,error1
2017,2,4,8:00:00,MID10928,error4
2017,3,27,0:00:00,MID10928,error1
2017,7,9,6:00:00,MID10928,error2
2017,7,9,6:00:00,MID10928,error3
2017,7,24,6:00:00,MID10928,error1
2017,8,8,6:00:00,MID10928,error2
2017,8,8,6:00:00,MID10928,error3
2017,9,25,12:00:00,MID10928,error4
2017,1,22,6:00:00,MID10847,error2
2017,1,22,6:00:00,MID10847,error3
2017,2,9,22:00:00,MID10847,error1
2017,3,23,6:00:00,MID10847,error2
2017,3,23,6:00:00,MID10847,error3
2017,4,7,6:00:00,MID10847,error5
2017,5,22,6:00:00,MID10847,error5
2017,6,6,6:00:00,MID10847,error2
2017,6,6,6:00:00,MID10847,error3
2017,7,19,17:00:00,MID10847,error1
2017,8,20,6:00:00,MID10847,error5
2017,10,19,6:00:00,MID10847,error2
2017,10,19,6:00:00,MID10847,error3
2017,11,18,6:00:00,MID10847,error5
2017,11,27,14:00:00,MID10847,error1
2017,1,2,6:00:00,MID10825,error5
2017,1,17,6:00:00,MID10825,error2
2017,1,17,6:00:00,MID10825,error3
2017,3,3,6:00:00,MID10825,error2
2017,3,3,6:00:00,MID10825,error3
2017,4,9,18:00:00,MID10825,error2
2017,4,17,6:00:00,MID10825,error1
2017,4,17,6:00:00,MID10825,error5
2017,6,1,6:00:00,MID10825,error5
2017,8,10,22:00:00,MID10825,error3
2017,8,15,6:00:00,MID10825,error5
2017,10,14,6:00:00,MID10825,error5
2017,1,29,6:00:00,MID10828,error1
2017,2,13,6:00:00,MID10828,error2
2017,2,13,6:00:00,MID10828,error3
2017,3,30,6:00:00,MID10828,error4
2017,3,30,6:00:00,MID10828,error5
2017,4,11,4:00:00,MID10828,error4
2017,4,14,6:00:00,MID10828,error2
2017,4,14,6:00:00,MID10828,error3
2017,5,29,6:00:00,MID10828,error5
2017,7,13,6:00:00,MID10828,error2
2017,7,13,6:00:00,MID10828,error3
2017,7,28,6:00:00,MID10828,error4
