"Year","Month","Day","Time","MachineID","ComponentAttended","ServiceType"
"2016","06","01","06:00:00","MID10889","Component1","ScheduledService"
"2016","06","01","06:00:00","MID10889","Component2","ScheduledService"
"2016","07","31","06:00:00","MID10889","Component3","ComponentRepair"
"2016","09","14","06:00:00","MID10889","Component4","ComponentRepair"
"2017","01","07","06:00:00","MID10889","Component1","ComponentRepair"
"2017","01","22","06:00:00","MID10889","Component3","ComponentRepair"
"2017","02","06","06:00:00","MID10889","Component4","ComponentRepair"
"2017","02","21","06:00:00","MID10889","Component3","ComponentRepair"
"2017","02","21","06:00:00","MID10889","Component2","ComponentRepair"
"2017","03","08","06:00:00","MID10889","Component4","ComponentRepair"
"2017","03","08","06:00:00","MID10889","Component2","ComponentRepair"
"2017","03","23","06:00:00","MID10889","Component1","ComponentRepair"
"2017","04","07","06:00:00","MID10889","Component1","ComponentRepair"
"2017","04","07","06:00:00","MID10889","Component4","ComponentRepair"
"2017","04","22","06:00:00","MID10889","Component3","ComponentRepair"
"2017","05","07","06:00:00","MID10889","Component2","ComponentRepair"
"2017","05","22","06:00:00","MID10889","Component4","ComponentRepair"
"2017","06","21","06:00:00","MID10889","Component2","ComponentRepair"
"2017","07","06","06:00:00","MID10889","Component2","ComponentRepair"
"2017","07","21","06:00:00","MID10889","Component3","ComponentRepair"
"2017","08","05","06:00:00","MID10889","Component3","ComponentRepair"
"2017","08","20","06:00:00","MID10889","Component3","ComponentRepair"
"2017","09","04","06:00:00","MID10889","Component4","ComponentRepair"
"2017","10","04","06:00:00","MID10889","Component3","ComponentRepair"
"2017","10","19","06:00:00","MID10889","Component4","ComponentRepair"
"2017","11","03","06:00:00","MID10889","Component3","ComponentRepair"
"2017","11","18","06:00:00","MID10889","Component3","ComponentRepair"
"2016","06","01","06:00:00","MID10898","Component1","ScheduledService"
"2016","06","16","06:00:00","MID10898","Component4","ComponentRepair"
"2016","07","01","06:00:00","MID10898","Component3","ScheduledService"
"2016","08","15","06:00:00","MID10898","Component2","ComponentRepair"
"2017","01","26","06:00:00","MID10898","Component3","ComponentRepair"
"2017","01","26","06:00:00","MID10898","Component4","ComponentRepair"
"2017","02","10","06:00:00","MID10898","Component2","ComponentRepair"
"2017","02","10","06:00:00","MID10898","Component3","ComponentRepair"
"2017","02","25","06:00:00","MID10898","Component4","ComponentRepair"
"2017","02","25","06:00:00","MID10898","Component1","ComponentRepair"
"2017","03","12","06:00:00","MID10898","Component4","ComponentRepair"
"2017","03","27","06:00:00","MID10898","Component2","ComponentRepair"
"2017","04","11","06:00:00","MID10898","Component3","ComponentRepair"
"2017","04","26","06:00:00","MID10898","Component1","ComponentRepair"
"2017","05","11","06:00:00","MID10898","Component2","ComponentRepair"
"2017","06","10","06:00:00","MID10898","Component2","ComponentRepair"
"2017","06","25","06:00:00","MID10898","Component4","ComponentRepair"
"2017","07","10","06:00:00","MID10898","Component3","ComponentRepair"
"2017","07","25","06:00:00","MID10898","Component2","ComponentRepair"
"2017","07","25","06:00:00","MID10898","Component3","ComponentRepair"
"2017","08","09","06:00:00","MID10898","Component1","ComponentRepair"
"2017","08","24","06:00:00","MID10898","Component2","ComponentRepair"
"2017","09","08","06:00:00","MID10898","Component4","ComponentRepair"
"2017","10","23","06:00:00","MID10898","Component4","ComponentRepair"
"2017","11","07","06:00:00","MID10898","Component3","ComponentRepair"
"2017","11","22","06:00:00","MID10898","Component2","ComponentRepair"
"2017","11","22","06:00:00","MID10898","Component3","ComponentRepair"
"2016","10","29","06:00:00","MID10928","Component1","ComponentRepair"
"2016","11","28","06:00:00","MID10928","Component4","ComponentRepair"
"2016","12","28","06:00:00","MID10928","Component2","ComponentRepair"
"2016","12","28","06:00:00","MID10928","Component3","ComponentRepair"
"2017","01","26","06:00:00","MID10928","Component2","ComponentRepair"
"2017","01","26","06:00:00","MID10928","Component1","ComponentRepair"
"2017","02","10","06:00:00","MID10928","Component3","ComponentRepair"
"2017","02","25","06:00:00","MID10928","Component3","ComponentRepair"
"2017","03","27","06:00:00","MID10928","Component3","ComponentRepair"
"2017","04","11","06:00:00","MID10928","Component4","ComponentRepair"
"2017","04","26","06:00:00","MID10928","Component1","ComponentRepair"
"2017","04","26","06:00:00","MID10928","Component4","ComponentRepair"
"2017","05","11","06:00:00","MID10928","Component2","ComponentRepair"
"2017","05","26","06:00:00","MID10928","Component4","ComponentRepair"
"2017","06","10","06:00:00","MID10928","Component4","ComponentRepair"
"2017","06","25","06:00:00","MID10928","Component4","ComponentRepair"
"2017","07","10","06:00:00","MID10928","Component2","ComponentRepair"
"2017","07","25","06:00:00","MID10928","Component1","ComponentRepair"
"2017","08","09","06:00:00","MID10928","Component2","ComponentRepair"
"2017","08","09","06:00:00","MID10928","Component1","ComponentRepair"
"2017","08","24","06:00:00","MID10928","Component4","ComponentRepair"
"2017","09","08","06:00:00","MID10928","Component1","ComponentRepair"
